s_id,software,groups
S0159,SNUGRIDE,G0045
S0157,SOUNDBITE,G0050
S0155,WINDSHIELD,G0050
S0156,KOMPROGO,G0050
S0153,RedLeaves,G0045
S0151,HALFBAKED,G0046
S0152,EvilGrab,G0045
S0154,Cobalt Strike,"G0073,G0079,G0052,G0050,G0080,G0016,G0065,G0037,G0096,G0114"
S0146,TEXTMATE,G0046
S0150,POSHSPY,G0016
S0149,MoonWind,
S0147,Pteranodon,G0047
S0148,RTM,G0048
S0144,ChChes,G0045
S0145,POWERSOURCE,G0046
S0142,StreamEx,G0009
S0143,Flame,
S0139,PowerDuke,G0016
S0141,Winnti for Windows,G0044
S0138,OLDBAIT,G0007
S0140,Shamoon,
S0132,H1N1,
S0136,USBStealer,G0007
S0130,Unknown Logger,G0040
S0135,HIDEDRV,G0007
S0133,Miner-C,
S0131,TINYTYPHON,G0040
S0137,CORESHELL,G0007
S0134,Downdelph,G0007
S0125,Remsec,G0041
S0129,AutoIt backdoor,"G0040,G0064"
S0128,BADNEWS,G0040
S0124,Pisloader,G0026
S0126,ComRAT,G0010
S0127,BBSRAT,
S0123,xCmd,G0006
S0122,Pass-The-Hash Toolkit,G0006
S0121,Lslsass,G0006
S0118,Nidiran,G0039
S0120,Fgdump,
S0119,Cachedump,G0006
S0116,UACMe,
S0117,XTunnel,G0007
S0113,Prikormka,
S0109,WEBC2,G0006
S0108,netsh,"G0008,G0032,G0074,G0019,G0050"
S0115,Crimson,
S0111,schtasks,"G0022,G0060"
S0114,BOOTRASH,
S0112,ROCKBOOT,G0096
S0110,at,"G0060,G0014,G0065,G0093"
S0107,Cherry Picker,
S0106,cmd,"G0060,G0072,G0026,G0071,G0045,G0093"
S0104,netstat,"G0049,G0004,G0018,G0010,G0071,G0096"
S0105,dsquery,G0061
S0102,nbtstat,G0010
S0101,ifconfig,
S0103,route,G0071
S0099,Arp,"G0010,G0071,G0050"
S0100,ipconfig,"G0071,G0006,G0018,G0004,G0027,G0049,G0050,G0093,G0016"
S0098,T9000,
S0096,Systeminfo,"G0071,G0004,G0072,G0019,G0049,G0018,G0010,G0016"
S0092,Agent.btz,
S0097,Ping,"G0009,G0045,G0019,G0004,G0093,G0096"
S0094,Trojan.Karagany,"G0035,G0074"
S0095,FTP,"G0019,G0049,G0064,G0096"
S0090,Rover,
S0091,Epic,G0010
S0093,Backdoor.Oldrea,G0035
S0089,BlackEnergy,G0034
S0088,Kasidet,
S0086,ZLib,G0031
S0087,Hi-Zor,
S0084,Mis-Type,G0031
S0085,S-Type,G0031
S0083,Misdat,G0031
S0081,Elise,G0030
S0082,Emissary,G0030
S0080,Mivast,G0009
S0079,MobileOrder,G0029
S0078,Psylo,G0029
S0077,CallMe,G0029
S0074,Sakula,G0009
S0075,Reg,"G0072,G0010,G0049,G0075,G0074,G0093"
S0076,FakeM,G0029
S0072,OwaAuth,G0027
S0071,hcdLoader,G0026
S0073,ASPXSpy,"G0027,G0014,G0087,G0096"
S0053,SeaDuke,G0016
S0054,CloudDuke,G0016
S0052,OnionDuke,G0016
S0051,MiniDuke,G0016
S0049,GeminiDuke,G0016
S0050,CosmicDuke,G0016
S0048,PinchDuke,G0016
S0044,JHUHUGIT,G0007
S0042,LOWBALL,G0018
S0046,CozyCar,G0016
S0047,Hacking Team UEFI Rootkit,
S0043,BUBBLEWRAP,G0018
S0045,ADVSTORESHELL,G0007
S0041,Wiper,
S0038,Duqu,
S0039,Net,"G0071,G0045,G0019,G0027,G0009,G0028,G0018,G0082,G0006,G0010,G0050,G0060,G0074,G0049,G0004,G0061,G0065,G0064,G0093,G0096,G0102,G0092,G0016"
S0040,HTRAN,"G0005,G0093"
S0037,HAMMERTOSS,G0016
S0035,SPACESHIP,G0013
S0036,FLASHFLOOD,G0013
S0034,NETEAGLE,G0013
S0033,NetTraveler,G0062
S0032,gh0st RAT,"G0062,G0026,G0011,G0096,G0027"
S0031,BACKSPACE,G0013
S0028,SHIPSHAPE,G0013
S0030,Carbanak,"G0008,G0046"
S0029,PsExec,"G0053,G0037,G0059,G0077,G0019,G0080,G0074,G0008,G0028,G0006,G0049,G0014,G0016,G0003,G0045,G0076,G0086,G0087,G0088,G0010,G0093,G0102,G0105,G0035"
S0026,GLOOXMAIL,G0006
S0027,Zeroaccess,
S0025,CALENDAR,G0006
S0024,Dyre,G0102
S0023,CHOPSTICK,G0007
S0020,China Chopper,"G0065,G0027,G0093,G0096"
S0022,Uroburos,G0010
S0021,Derusbi,"G0065,G0009,G0001,G0096"
S0019,Regin,
S0016,P2P ZeuS,
S0015,Ixeshe,G0005
S0017,BISCUIT,G0006
S0018,Sykipot,
S0014,BS2005,
S0010,Lurid,G0011
S0011,Taidoor,
S0013,PlugX,"G0022,G0027,G0017,G0045,G0062,G0093,G0096"
S0009,Hikit,G0001
S0012,PoisonIvy,"G0017,G0018,G0045,G0011,G0002,G0081,G0066,G0021,G0006,G0093"
S0008,gsecdump,"G0014,G0060,G0006,G0011,G0027"
S0005,Windows Credential Editor,"G0060,G0037,G0053,G0027,G0087,G0065"
S0006,pwdump,"G0006,G0053,G0045,G0027,G0096,G0087"
S0007,Skeleton Key,
S0004,TinyZBot,G0003
S0003,RIPTIDE,G0005
S0002,Mimikatz,"G0049,G0007,G0003,G0059,G0008,G0006,G0077,G0045,G0060,G0032,G0050,G0079,G0004,G0010,G0069,G0076,G0016,G0080,G0082,G0011,G0027,G0086,G0087,G0064,G0088,G0093,G0037,G0096,G0107,G0108,G0035,G0114"
